Название объекта,Адрес,Идентификатор,Ввод в эксплуатацию,Полное наименование застройщика,Название группы застройщика,Дата публикации,Выдача ключей,Средняя цена,Распроданность квартир %,Описание класса объекта,Количество квартир
"Гостиничный комплекс ""AMAYA RESIDENCE"" ","г. Сочи, район Хостинский, проспект Курортный, д. 108г",46700,2026-03-31,СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК КОЛИБРИ,Альпика Групп,2022-06-24,20-09-2026 12:00,1000000,0.418677882942836,Элитный,0
"Гостиничный комплекс ""Гранд Каскад""","г. Сочи, район Центральный р-н, пр-кт Курортный, блок-секция 1,2,3,4,5,6",46664,2024-12-31,СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК КАСКАД,-,2022-06-22,21-10-2024 12:00,-,0.203679640895399,Элитный,0
"ЖК ""Чайные Холмы"" Литер 5",город Сочи,46477,2025-09-30,ЦЕНТРАЛЬНАЯ ИНВЕСТИЦИОННАЯ КОМПАНИЯ,ЦЕНТРАЛЬНАЯ ИНВЕСТИЦИОННАЯ КОМПАНИЯ,2022-06-08,30-01-2026 12:00,312399,0.248080614203455,Комфорт,158
"ЖК ""Чайные Холмы"" Литер 4",город Сочи,46476,2025-09-30,ЦЕНТРАЛЬНАЯ ИНВЕСТИЦИОННАЯ КОМПАНИЯ,ЦЕНТРАЛЬНАЯ ИНВЕСТИЦИОННАЯ КОМПАНИЯ,2022-06-08,30-01-2026 12:00,-,-,Комфорт,169
"ЖК ""Чайные Холмы"" Литер 3",город Сочи,46475,2025-09-30,ЦЕНТРАЛЬНАЯ ИНВЕСТИЦИОННАЯ КОМПАНИЯ,ЦЕНТРАЛЬНАЯ ИНВЕСТИЦИОННАЯ КОМПАНИЯ,2022-06-08,30-01-2026 12:00,50000,0.122157611525777,Комфорт,169
"ЖК ""Чайные Холмы"" Литер 7",город Сочи,46474,2025-09-30,ЦЕНТРАЛЬНАЯ ИНВЕСТИЦИОННАЯ КОМПАНИЯ,ЦЕНТРАЛЬНАЯ ИНВЕСТИЦИОННАЯ КОМПАНИЯ,2022-06-08,30-01-2026 12:00,-,-,Комфорт,158
"ЖК ""Чайные Холмы"" Литер 6",город Сочи,46473,2025-09-30,ЦЕНТРАЛЬНАЯ ИНВЕСТИЦИОННАЯ КОМПАНИЯ,ЦЕНТРАЛЬНАЯ ИНВЕСТИЦИОННАЯ КОМПАНИЯ,2022-06-08,30-01-2026 12:00,-,-,Комфорт,158
"ЖК ""Чайные Холмы"" Литер 8",город Сочи,46467,2025-09-30,ЦЕНТРАЛЬНАЯ ИНВЕСТИЦИОННАЯ КОМПАНИЯ,ЦЕНТРАЛЬНАЯ ИНВЕСТИЦИОННАЯ КОМПАНИЯ,2022-06-07,30-01-2026 12:00,273395,0.429583984261992,Комфорт,169
"ЖК ""Чайные Холмы"" Литер 2",город Сочи,46466,2025-09-30,ЦЕНТРАЛЬНАЯ ИНВЕСТИЦИОННАЯ КОМПАНИЯ,ЦЕНТРАЛЬНАЯ ИНВЕСТИЦИОННАЯ КОМПАНИЯ,2022-06-07,30-01-2026 12:00,265000,0.487849049594452,Комфорт,158
"ЖК ""Чайные Холмы"" Литер 1","город Сочи, Лазарвский район",46465,2025-09-30,ЦЕНТРАЛЬНАЯ ИНВЕСТИЦИОННАЯ КОМПАНИЯ,ЦЕНТРАЛЬНАЯ ИНВЕСТИЦИОННАЯ КОМПАНИЯ,2022-06-07,30-01-2026 12:00,83333,0.26890586125094,Комфорт,169
"ЖК ""Чайные Холмы"" Автостоянка","город Сочи, Лазаревский район",46464,2025-09-30,ЦЕНТРАЛЬНАЯ ИНВЕСТИЦИОННАЯ КОМПАНИЯ,ЦЕНТРАЛЬНАЯ ИНВЕСТИЦИОННАЯ КОМПАНИЯ,2022-06-07,30-01-2026 12:00,-,-,Комфорт,0
"ЖК ""Чайные Холмы"" ЗДО","город Сочи, Лазаревский район",46463,2025-09-30,ЦЕНТРАЛЬНАЯ ИНВЕСТИЦИОННАЯ КОМПАНИЯ,ЦЕНТРАЛЬНАЯ ИНВЕСТИЦИОННАЯ КОМПАНИЯ,2022-06-07,07-07-2025 12:00,-,-,Комфорт,0
"Гостиничный комплекс ""Новая Волна""",город Сочи,46144,2024-12-31,СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ФАЙВ СТАРС,-,2022-05-17,31-03-2025 12:00,888847,0.357161760774446,Элитный,0
"Гостиничный комплекс ""Новая Волна""",город Сочи,46143,2024-12-31,СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ФАЙВ СТАРС,-,2022-05-17,31-03-2025 12:00,1127704,0.221338112273754,Элитный,0
"Гостиничный комплекс ""Новая Волна""",город Сочи,46142,2024-06-30,СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ФАЙВ СТАРС,-,2022-05-17,31-03-2025 12:00,650000,0.474268574143841,Элитный,0
-,город Сочи,46117,2025-06-30,СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК КРАСМАШЕВСКИЙ,-,2022-05-16,30-07-2025 12:00,1401705,0.247861099782235,Элитный,0
-,"г. Сочи, район Адлерский р-н, ул Искры",45102,2025-03-31,СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ГРОМИТУС,AVA Group,2022-02-15,30-06-2025 12:00,120000,1.0,Комфорт,0
-,"г. Сочи, район Адлерский р-н, ул Искры",45101,2025-03-31,СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ГРОМИТУС,AVA Group,2022-02-15,30-06-2025 12:00,120000,1.0,Комфорт,0
-,"г. Сочи, район Адлерский р-н, ул Искры",45100,2025-03-31,СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ГРОМИТУС,AVA Group,2022-02-15,30-06-2025 12:00,318979,0.940468445022772,Комфорт,0
-,"г. Сочи, район Адлерский р-н, ул Искры",45099,2025-03-31,СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ГРОМИТУС,AVA Group,2022-02-15,30-06-2025 12:00,367400,0.829283519016519,Комфорт,142
-,"г. Сочи, район Адлерский р-н, ул Искры",45098,2025-03-31,СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ГРОМИТУС,AVA Group,2022-02-15,30-06-2025 12:00,348481,0.669981644988765,Комфорт,426
-,"город Сочи, Хостинский район, Новая Мацеста, ул. Аллея Челтенхема",43380,2025-06-30,СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ЛИДЕР+,-,2021-11-01,30-10-2025 12:00,810000,0.301728959173717,Комфорт,0
"Гостиничный комплекс ""Нескучный сад""",г Сочи,42575,2025-09-30,СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ЗЕЛЕНАЯ ГОРКА,Неометрия,2021-09-07,31-12-2025 12:00,1096930,0.310036316770156,Бизнес,0
"Гостиничный комплекс ""Нескучный сад""",г Сочи,42574,2025-06-30,СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ЗЕЛЕНАЯ ГОРКА,Неометрия,2021-09-07,30-06-2025 12:00,843568,0.434164387627469,Бизнес,0
"Гостиничный комплекс ""Поляна Пик""","г. Сочи, район Адлерский р-н, ул Защитников Кавказа, д. 77",42373,2025-06-30,СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК МЕГАСТРОЙ,Метрополис,2021-08-26,31-12-2025 12:00,1400000,0.105593902231408,Элитный,0
"Гостиничный комплекс ""Поляна Пик""","г. Сочи, район Адлерский р-н, ул Защитников Кавказа, д. 77, блок-секция 1,2",42291,2025-06-30,СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК МЕГАСТРОЙ,Метрополис,2021-08-20,31-12-2025 12:00,-,-,Элитный,0
"Гостиничный комплекс ""Поляна Пик""","г. Сочи, район Адлерский р-н, ул Защитников Кавказа, д. 77, блок-секция 1,2,3",42290,2025-06-30,СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК МЕГАСТРОЙ,Метрополис,2021-08-20,31-12-2025 12:00,1170000,0.443981523491006,Элитный,0
ЖК ФЛОРА (3 этап),"г. Сочи, Хостинский внутригородской район, улица Искры, д. Участок 66/9, литера 4а",41454,2024-09-30,СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК РАФСТРОЙ,Неометрия,2021-07-02,30-09-2024 12:00,-,-,Комфорт,0
ЖК ФЛОРА (3 этап),"г. Сочи, Хостинский внутригородской район, улица Искры, д. Участок 66/9, литера 5",41453,2024-09-30,СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК РАФСТРОЙ,Неометрия,2021-07-02,30-09-2024 12:00,305884,0.653563451001356,Комфорт,296
ЖК ФЛОРА (3 этап),"г. Сочи, Хостинский внутригородской район, улица Искры, д. Участок 66/9, литера 4",41452,2024-09-30,СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК РАФСТРОЙ,Неометрия,2021-07-02,30-09-2024 12:00,373023,0.607218783956158,Комфорт,130
ЖК Кислород,"г Сочи, Хостинский район",39550,2025-12-31,СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК КИСЛОРОД,AVA Group,2021-04-13,31-03-2026 12:00,417143,0.527218531538636,Бизнес,272
ЖК Кислород,"г Сочи, Хостинский район",39549,2025-12-31,СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК КИСЛОРОД,AVA Group,2021-04-13,31-03-2026 12:00,419504,0.338741837062413,Бизнес,289
ЖК Кислород,"г Сочи, Хостинский район",39548,2024-12-31,СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК КИСЛОРОД,AVA Group,2021-04-13,31-03-2025 12:00,263428,0.469688321263363,Бизнес,307
ЖК Кислород,"г Сочи, Хостинский район",39545,2024-09-30,СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК КИСЛОРОД,AVA Group,2021-04-13,31-12-2024 12:00,310110,0.00460323689248808,Бизнес,307
ЖК Кислород,"г Сочи, Хостинский район",39544,2025-06-30,СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК КИСЛОРОД,AVA Group,2021-04-13,30-09-2025 12:00,388985,0.362415609944734,Бизнес,224
ЖК Кислород,"г Сочи, Хостинский район",39543,2025-06-30,СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК КИСЛОРОД,AVA Group,2021-04-13,30-09-2025 12:00,499654,0.554847209333157,Бизнес,235
"МФК ""Имеретинские высоты""","с. Веселое, д. 4",35894,2026-03-31,СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК МАРГО,-,2020-05-27,30-05-2026 12:00,-,-,Комфорт,0
"МФК ""Имеретинские высоты""","с. Веселое, д. 1",35893,2026-03-31,СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК МАРГО,-,2020-05-27,30-05-2026 12:00,257257,0.305881891846873,Комфорт,259
"МФК ""Имеретинские высоты""","с. Веселое, д. 2",35892,2026-03-31,СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК МАРГО,-,2020-05-27,30-05-2026 12:00,374488,0.320652759678225,Комфорт,259
"МФК ""Имеретинские высоты""","с. Веселое, д. 3",35891,2026-03-31,СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК МАРГО,-,2020-05-27,30-05-2026 12:00,124771,0.359478151524678,Комфорт,237
"ТОЦ ""Океан""","г. Сочи, район Адлерский, улица Демократическая, д. 37",32908,2024-09-30,ОКЕАН,-,2019-08-10,01-09-2024 12:00,-,0.787408132883436,Типовой,0
"Жилой квартал ""Тюльпановка"" ",г. Сочи,22626,2025-12-31,ГРАДРИЭЛТ,ГрадРиэлт,2019-05-31,30-09-2026 12:00,-,-,Комфорт,3
"Жилой квартал ""Тюльпановка"" ",г. Сочи,22624,2024-12-31,ГРАДРИЭЛТ,ГрадРиэлт,2019-05-31,30-09-2025 12:00,255618,0.0996606334841629,Комфорт,10
"Жилой квартал ""Тюльпановка"" ",г. Сочи,22623,2024-09-30,ГРАДРИЭЛТ,ГрадРиэлт,2019-05-31,30-06-2025 12:00,96481,0.300113122171946,Комфорт,10
"Жилой квартал ""Тюльпановка"" ",г. Сочи,22622,2024-09-30,ГРАДРИЭЛТ,ГрадРиэлт,2019-05-31,30-06-2025 12:00,194324,0.399773755656109,Комфорт,10
"Жилой квартал ""Тюльпановка"" ",г. Сочи,22619,2025-12-31,ГРАДРИЭЛТ,ГрадРиэлт,2019-05-31,30-09-2026 12:00,-,-,Комфорт,10
"Жилой квартал ""Тюльпановка"" ",г. Сочи,22618,2025-12-31,ГРАДРИЭЛТ,ГрадРиэлт,2019-05-31,30-09-2026 12:00,-,-,Комфорт,10
"Жилой квартал ""Тюльпановка"" ",г. Сочи,22616,2025-12-31,ГРАДРИЭЛТ,ГрадРиэлт,2019-05-31,30-09-2026 12:00,-,-,Комфорт,10
"Жилой квартал ""Тюльпановка"" ",г. Сочи,22614,2025-12-31,ГРАДРИЭЛТ,ГрадРиэлт,2019-05-31,30-09-2026 12:00,-,-,Комфорт,10
"Жилой квартал ""Тюльпановка"" ",г. Сочи,22613,2025-12-31,ГРАДРИЭЛТ,ГрадРиэлт,2019-05-31,30-09-2026 12:00,-,-,Комфорт,10
"Жилой квартал ""Тюльпановка"" ",г. Сочи,22610,2024-12-31,ГРАДРИЭЛТ,ГрадРиэлт,2019-05-31,30-09-2025 12:00,246538,0.399773755656109,Комфорт,10
"Жилой квартал ""Тюльпановка"" ",г. Сочи,22584,2024-09-30,ГРАДРИЭЛТ,ГрадРиэлт,2019-05-31,31-03-2025 12:00,194324,0.624646293152236,Комфорт,8
"Жилой квартал ""Тюльпановка"" ",г. Сочи,22583,2024-09-30,ГРАДРИЭЛТ,ГрадРиэлт,2019-05-31,31-03-2025 12:00,96481,0.373938879456706,Комфорт,8
-,"г. Сочи, ул Старошоссейная, д. 5, корпус 10",1859,2027-06-30,МЕБЕЛЬЩИК,Мебельщик,2019-05-31,30-06-2027 12:00,409704,0.0753437287629908,Комфорт,334
